scope,scheme,equity_variable,equity_level,category,n,ed_positive,ed_visits,weighted_millions_average_panel
pooled_all_panels,narrow,poverty_5,1,opioid_only,100,37,93,0.60768
pooled_all_panels,narrow,poverty_5,1,nonopioid_only,24,12,24,0.116912
pooled_all_panels,narrow,poverty_5,1,both,15,5,7,0.086362
pooled_all_panels,narrow,poverty_5,1,neither,447,141,240,2.571523
pooled_all_panels,narrow,poverty_5,2,opioid_only,34,9,11,0.189674
pooled_all_panels,narrow,poverty_5,2,nonopioid_only,6,3,3,0.045653
pooled_all_panels,narrow,poverty_5,2,both,7,0,0,0.048497
pooled_all_panels,narrow,poverty_5,2,neither,140,54,97,0.921576
pooled_all_panels,narrow,poverty_5,3,opioid_only,86,25,35,0.557692
pooled_all_panels,narrow,poverty_5,3,nonopioid_only,12,5,6,0.089538
pooled_all_panels,narrow,poverty_5,3,both,10,5,5,0.080988
pooled_all_panels,narrow,poverty_5,3,neither,430,123,210,2.936289
pooled_all_panels,narrow,poverty_5,4,opioid_only,189,46,65,1.296135
pooled_all_panels,narrow,poverty_5,4,nonopioid_only,27,5,6,0.178411
pooled_all_panels,narrow,poverty_5,4,both,34,10,13,0.239507
pooled_all_panels,narrow,poverty_5,4,neither,956,205,332,6.888406
pooled_all_panels,narrow,poverty_5,5,opioid_only,291,47,75,2.20045
pooled_all_panels,narrow,poverty_5,5,nonopioid_only,31,2,3,0.365279
pooled_all_panels,narrow,poverty_5,5,both,54,11,15,0.491325
pooled_all_panels,narrow,poverty_5,5,neither,1575,297,418,13.543259
pooled_all_panels,narrow,poverty_3,200_to_399_fpl,opioid_only,189,46,65,1.296135
pooled_all_panels,narrow,poverty_3,200_to_399_fpl,nonopioid_only,27,5,6,0.178411
pooled_all_panels,narrow,poverty_3,200_to_399_fpl,both,34,10,13,0.239507
pooled_all_panels,narrow,poverty_3,200_to_399_fpl,neither,956,205,332,6.888406
pooled_all_panels,narrow,poverty_3,400_plus_fpl,opioid_only,291,47,75,2.20045
pooled_all_panels,narrow,poverty_3,400_plus_fpl,nonopioid_only,31,2,3,0.365279
pooled_all_panels,narrow,poverty_3,400_plus_fpl,both,54,11,15,0.491325
pooled_all_panels,narrow,poverty_3,400_plus_fpl,neither,1575,297,418,13.543259
pooled_all_panels,narrow,poverty_3,below_200_fpl,opioid_only,220,71,139,1.355046
pooled_all_panels,narrow,poverty_3,below_200_fpl,nonopioid_only,42,20,33,0.252103
pooled_all_panels,narrow,poverty_3,below_200_fpl,both,32,10,12,0.215848
pooled_all_panels,narrow,poverty_3,below_200_fpl,neither,1017,318,547,6.429388
pooled_all_panels,narrow,poverty_2,200_plus_fpl,opioid_only,480,93,140,3.496585
pooled_all_panels,narrow,poverty_2,200_plus_fpl,nonopioid_only,58,7,9,0.54369
pooled_all_panels,narrow,poverty_2,200_plus_fpl,both,88,21,28,0.730833
pooled_all_panels,narrow,poverty_2,200_plus_fpl,neither,2531,502,750,20.431665
pooled_all_panels,narrow,poverty_2,below_200_fpl,opioid_only,220,71,139,1.355046
pooled_all_panels,narrow,poverty_2,below_200_fpl,nonopioid_only,42,20,33,0.252103
pooled_all_panels,narrow,poverty_2,below_200_fpl,both,32,10,12,0.215848
pooled_all_panels,narrow,poverty_2,below_200_fpl,neither,1017,318,547,6.429388
pooled_all_panels,narrow,insurance_3,1,opioid_only,445,77,107,3.334638
pooled_all_panels,narrow,insurance_3,1,nonopioid_only,57,14,20,0.556092
pooled_all_panels,narrow,insurance_3,1,both,88,21,28,0.727413
pooled_all_panels,narrow,insurance_3,1,neither,2193,430,635,18.137048
pooled_all_panels,narrow,insurance_3,2,opioid_only,242,83,159,1.439715
pooled_all_panels,narrow,insurance_3,2,nonopioid_only,39,12,21,0.226991
pooled_all_panels,narrow,insurance_3,2,both,32,10,12,0.219267
pooled_all_panels,narrow,insurance_3,2,neither,1301,378,650,8.329538
pooled_all_panels,narrow,insurance_3,3,opioid_only,13,4,13,0.077278
pooled_all_panels,narrow,insurance_3,3,nonopioid_only,4,1,1,0.01271
pooled_all_panels,narrow,insurance_3,3,both,0,0,0,0.0
pooled_all_panels,narrow,insurance_3,3,neither,54,12,12,0.394467
pooled_all_panels,broad,poverty_5,1,opioid_only,96,37,93,0.593656
pooled_all_panels,broad,poverty_5,1,nonopioid_only,30,14,27,0.154059
pooled_all_panels,broad,poverty_5,1,both,19,5,7,0.100386
pooled_all_panels,broad,poverty_5,1,neither,441,139,237,2.534375
pooled_all_panels,broad,poverty_5,2,opioid_only,33,8,10,0.188088
pooled_all_panels,broad,poverty_5,2,nonopioid_only,7,3,3,0.048491
pooled_all_panels,broad,poverty_5,2,both,8,1,1,0.050084
pooled_all_panels,broad,poverty_5,2,neither,139,54,97,0.918738
pooled_all_panels,broad,poverty_5,3,opioid_only,84,25,35,0.539082
pooled_all_panels,broad,poverty_5,3,nonopioid_only,16,5,6,0.162306
pooled_all_panels,broad,poverty_5,3,both,12,5,5,0.099598
pooled_all_panels,broad,poverty_5,3,neither,426,123,210,2.863521
pooled_all_panels,broad,poverty_5,4,opioid_only,183,45,64,1.260941
pooled_all_panels,broad,poverty_5,4,nonopioid_only,38,8,10,0.241825
pooled_all_panels,broad,poverty_5,4,both,40,11,14,0.274702
pooled_all_panels,broad,poverty_5,4,neither,945,202,328,6.824992
