requested_file,resolved_path,bytes,sha256
h197a.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h197a.dta,242220718,5779ddf529e1cb4dd853bcbd8b1dad1220c31a353b8d45aa79cefdf47aa612bc
h197d.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h197d.dta,1348758,bc0a2f98c5bba83ee9ebc1054b753217cb0e58eb8d6a447a0ec307de9decaf4d
h197e.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h197e.dta,3183542,3b7b14af00f84bda582e08ae0c4352e0d2f137e5c1bd7c2f4f60f1d4c95dbfcc
h197f.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h197f.dta,7865466,88568399cb5c54ba9252ebe23e01150bca63565ada34d3d4f57db36af4f23732
h197g.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h197g.dta,68228298,96edb30ccb8519b9f22f26a712bba280666ae01bed19576ba9bc069624bbf2d2
h197if1.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h197if1.dta,27016834,ac5da6224c77276ea70717ea2f4a764f6e1e5d729124f771e4565a6123f920e0
h199.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h199.dta,8904596,5df5ec493beb549be8e44e5051ecc8e05d25d108acba7707167cf7a9b5940aba
h206a.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h206a.dta,261529566,8ad4b139f30cd59a3cca4cbecbd87d01ff50a0fed4033f18492300ba71d91c49
h206d.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h206d.dta,1369858,86158ee3e339a3bd5d80e4c96f7ac7faa35b4561165bc158ab16f0c157d6d1b3
h206e.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h206e.dta,3262084,fa7c14d24022fff1434f11cf999aea1a97a0b5b09c5a9aabaad7b26f673e1ee6
h206f.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h206f.dta,9779386,43003b7bc6a477e6517e979bcdc55daea94bd53ec381e076cba571f84c839342
h206g.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h206g.dta,75858706,4669807bf30d5373ac2dee4e3792289d97a72200ac3baf076e1fef64da3bfc9c
h206if1.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h206if1.dta,35037854,67b3b112800de3e4f673720cbd10f295b3137469aaf16f802da34cc5b4b09f82
h207.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h207.dta,20435798,c1b733976aed5e9302ff19e5df0d99df5120b0be8f064729bbb826ec3ea58d77
h210.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h210.dta,76238531,b47403a360aea073b7832842f8a33d029dc46b01d326eae9c619659d0c85cb76
h217.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h217.dta,71989753,dd5e60de82ef6bda24afc5e536229cf68a673dd2dbf427d94628b0434a3ac1e2
h220a.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h220a.dta,153331532,32c2ce077c18e0eeaf8235588a17331b508683548282dbe6cd96c721f7cb0765
h220d.dta,C:\Users\nimmi\.codex-data\meps-opioid-sparing\dta\h220d.dta,683922,ce9ab75eeb97a6cdec5fe3727ea2c96164cb55e9d8b2688b1aefec8730b8b14f
