key,label,estimand,estimate,std_error,ci_low,ci_high,p_value,unweighted_n,weighted_millions,design_df,model_status,suppressed
M2_INT_WALD,Exposure by two-level poverty interaction,wald_interaction_test,0.2844327766197619,,,,0.5943276514581901,4454,33.35670763125,261,pass,FALSE
M2_INT_RATIO_OF_RATIOS,Opioid-by-poverty ratio of count ratios,ratio_of_count_ratios,1.1124737152418593,0.2223312667652373,0.7505541479309433,1.6489120345490298,0.5942642761313275,4454,33.35670763125,261,pass,FALSE
M2_200_PLUS_FPL_NO_OPIOID_MEAN,200_plus_fpl no_opioid standardized outcome,standardized_mean_count,0.2800405727140011,0.018325456889855513,0.2461841261704556,0.3185531235742088,,3149,25.14544567853925,261,pass,FALSE
M2_200_PLUS_FPL_ANY_OPIOID_MEAN,200_plus_fpl any_opioid standardized outcome,standardized_mean_count,0.26069603835571936,0.029279893116030332,0.2089714476799939,0.32522349425669,,3149,25.14544567853925,261,pass,FALSE
M2_200_PLUS_FPL_RATIO,200_plus_fpl any_opioid versus no_opioid ratio,standardized_mean_ratio,0.9309223868141496,0.12085393572421115,0.7209318887303586,1.202078176619377,0.581854016908484,3149,25.14544567853925,261,pass,FALSE
M2_200_PLUS_FPL_DIFFERENCE,200_plus_fpl any_opioid versus no_opioid difference,standardized_mean_difference,-0.019344534358281762,0.03449627295212662,-0.08727096342743433,0.04858189471087081,0.5754342453662856,3149,25.14544567853925,261,pass,FALSE
M2_BELOW_200_FPL_NO_OPIOID_MEAN,below_200_fpl no_opioid standardized outcome,standardized_mean_count,0.5437876126021658,0.04173125709142914,0.4675221924042591,0.6324939701768675,,1305,8.21126195271075,261,pass,FALSE
M2_BELOW_200_FPL_ANY_OPIOID_MEAN,below_200_fpl any_opioid standardized outcome,standardized_mean_count,0.5631609632689376,0.09640104840687844,0.4020187827341675,0.7888941615937168,,1305,8.21126195271075,261,pass,FALSE
M2_BELOW_200_FPL_RATIO,below_200_fpl any_opioid versus no_opioid ratio,standardized_mean_ratio,1.0356266862609562,0.17465565888916235,0.7429876927529627,1.4435267821488047,0.8357237532137808,1305,8.21126195271075,261,pass,FALSE
M2_BELOW_200_FPL_DIFFERENCE,below_200_fpl any_opioid versus no_opioid difference,standardized_mean_difference,0.019373350666771816,0.0946979532804692,-0.16709588951539592,0.20584259084893955,0.8380593680197654,1305,8.21126195271075,261,pass,FALSE
