key,variable,missing_n,missing_percent,weighted_missing_percent,no_opioid_missing_percent,any_opioid_missing_percent,absolute_exposure_difference_pp
MISS_OPIOID_BINARY,opioid_binary,0,0,0,0,0,0
MISS_ERTOTY2,ERTOTY2,0,0,0,0,0,0
MISS_AGEY1X,AGEY1X,0,0,0,0,0,0
MISS_SEX,sex,0,0,0,0,0,0
MISS_RACE_MODEL,race_model,0,0,0,0,0,0
MISS_REGION,region,0,0,0,0,0,0
MISS_POVERTY_2,poverty_2,0,0,0,0,0,0
MISS_INSURANCE_MODEL,insurance_model,0,0,0,0,0,0
MISS_ERTOTY1,ERTOTY1,0,0,0,0,0,0
MISS_IPDISY1,IPDISY1,0,0,0,0,0,0
MISS_OPTOTVY1,OPTOTVY1,0,0,0,0,0,0
MISS_OBTOTVY1,OBTOTVY1,0,0,0,0,0,0
MISS_PHYSICAL_HEALTH_3,physical_health_3,5,0.11190689346463742,0.11144098029512328,0.10964912280701754,0.12195121951219512,0.012302096705177581
MISS_MENTAL_HEALTH_3,mental_health_3,3,0.06714413607878246,0.10104532074061887,0.05482456140350877,0.12195121951219512,0.06712665810868634
MISS_WALK_LIMITATION,walk_limitation,7,0.1566696508504924,0.12871688728639308,0.10964912280701754,0.3658536585365854,0.25620453572956786
MISS_CANCER_Y1,cancer_y1,1,0.022381378692927483,0.01836032088817087,0.027412280701754384,0,0.027412280701754384
MISS_SURGERY_INPATIENT,surgery_inpatient,0,0,0,0,0,0
MISS_SURGERY_EMERGENCY_ROOM,surgery_emergency_room,0,0,0,0,0,0
MISS_SURGERY_OUTPATIENT,surgery_outpatient,0,0,0,0,0,0
MISS_SURGERY_OFFICE_BASED,surgery_office_based,0,0,0,0,0,0
MISS_SURGICAL_EVENT_COUNT,surgical_event_count,0,0,0,0,0,0
MISS_PANEL,PANEL,0,0,0,0,0,0
