key,variable,level,unweighted_n,ed_positive_n,passes_n_50,passes_ed_positive_30,pass
LEVEL_OPIOID_BINARY_NO_OPIOID,opioid_binary,no_opioid,3638,845,TRUE,TRUE,TRUE
LEVEL_OPIOID_BINARY_ANY_OPIOID,opioid_binary,any_opioid,816,194,TRUE,TRUE,TRUE
LEVEL_SEX_MALE,sex,male,1874,437,TRUE,TRUE,TRUE
LEVEL_SEX_FEMALE,sex,female,2580,602,TRUE,TRUE,TRUE
LEVEL_RACE_MODEL_NON_HISPANIC_WHITE,race_model,non_hispanic_white,3326,747,TRUE,TRUE,TRUE
LEVEL_RACE_MODEL_HISPANIC,race_model,hispanic,464,101,TRUE,TRUE,TRUE
LEVEL_RACE_MODEL_NON_HISPANIC_BLACK,race_model,non_hispanic_black,454,147,TRUE,TRUE,TRUE
LEVEL_RACE_MODEL_NON_HISPANIC_ASIAN_OTHER_MULTIPLE,race_model,non_hispanic_asian_other_multiple,210,44,TRUE,TRUE,TRUE
LEVEL_REGION_NORTHEAST,region,northeast,794,161,TRUE,TRUE,TRUE
LEVEL_REGION_MIDWEST,region,midwest,1061,282,TRUE,TRUE,TRUE
LEVEL_REGION_SOUTH,region,south,1546,389,TRUE,TRUE,TRUE
LEVEL_REGION_WEST,region,west,1053,207,TRUE,TRUE,TRUE
LEVEL_POVERTY_2_X200_PLUS_FPL,poverty_2,200_plus_fpl,3149,621,TRUE,TRUE,TRUE
LEVEL_POVERTY_2_BELOW_200_FPL,poverty_2,below_200_fpl,1305,418,TRUE,TRUE,TRUE
LEVEL_INSURANCE_MODEL_ANY_PRIVATE,insurance_model,any_private,2776,540,TRUE,TRUE,TRUE
LEVEL_INSURANCE_MODEL_NO_PRIVATE,insurance_model,no_private,1678,499,TRUE,TRUE,TRUE
LEVEL_PHYSICAL_HEALTH_3_EXCELLENT_VERY_GOOD,physical_health_3,excellent_very_good,2115,345,TRUE,TRUE,TRUE
LEVEL_PHYSICAL_HEALTH_3_GOOD,physical_health_3,good,1297,298,TRUE,TRUE,TRUE
LEVEL_PHYSICAL_HEALTH_3_FAIR_POOR,physical_health_3,fair_poor,1042,396,TRUE,TRUE,TRUE
LEVEL_MENTAL_HEALTH_3_EXCELLENT_VERY_GOOD,mental_health_3,excellent_very_good,2794,573,TRUE,TRUE,TRUE
LEVEL_MENTAL_HEALTH_3_GOOD,mental_health_3,good,1185,303,TRUE,TRUE,TRUE
LEVEL_MENTAL_HEALTH_3_FAIR_POOR,mental_health_3,fair_poor,475,163,TRUE,TRUE,TRUE
LEVEL_WALK_LIMITATION_NO,walk_limitation,no,3133,606,TRUE,TRUE,TRUE
LEVEL_WALK_LIMITATION_YES,walk_limitation,yes,1321,433,TRUE,TRUE,TRUE
LEVEL_CANCER_Y1_NO,cancer_y1,no,3228,732,TRUE,TRUE,TRUE
LEVEL_CANCER_Y1_YES,cancer_y1,yes,1226,307,TRUE,TRUE,TRUE
LEVEL_SURGERY_INPATIENT_X0,surgery_inpatient,0,3364,704,TRUE,TRUE,TRUE
LEVEL_SURGERY_INPATIENT_X1,surgery_inpatient,1,1090,335,TRUE,TRUE,TRUE
LEVEL_SURGERY_EMERGENCY_ROOM_X0,surgery_emergency_room,0,4141,925,TRUE,TRUE,TRUE
LEVEL_SURGERY_EMERGENCY_ROOM_X1,surgery_emergency_room,1,313,114,TRUE,TRUE,TRUE
LEVEL_SURGERY_OUTPATIENT_X0,surgery_outpatient,0,3028,704,TRUE,TRUE,TRUE
LEVEL_SURGERY_OUTPATIENT_X1,surgery_outpatient,1,1426,335,TRUE,TRUE,TRUE
LEVEL_SURGERY_OFFICE_BASED_X0,surgery_office_based,0,1897,499,TRUE,TRUE,TRUE
LEVEL_SURGERY_OFFICE_BASED_X1,surgery_office_based,1,2557,540,TRUE,TRUE,TRUE
LEVEL_PANEL_X22,PANEL,22,1497,343,TRUE,TRUE,TRUE
LEVEL_PANEL_X23,PANEL,23,1480,359,TRUE,TRUE,TRUE
LEVEL_PANEL_X25,PANEL,25,645,145,TRUE,TRUE,TRUE
LEVEL_PANEL_X26,PANEL,26,832,192,TRUE,TRUE,TRUE
