key,source_key,issue,pass
RELIABILITY_DESC_AGEY1X_MEAN,RELIABILITY_DESC_AGEY1X_MEAN,none,TRUE
RELIABILITY_DESC_SEX_MALE,RELIABILITY_DESC_SEX_MALE,none,TRUE
RELIABILITY_DESC_SEX_FEMALE,RELIABILITY_DESC_SEX_FEMALE,none,TRUE
RELIABILITY_DESC_RACE_ETHNICITY_HISPANIC,RELIABILITY_DESC_RACE_ETHNICITY_HISPANIC,none,TRUE
RELIABILITY_DESC_RACE_ETHNICITY_NON_HISPANIC_WHITE,RELIABILITY_DESC_RACE_ETHNICITY_NON_HISPANIC_WHITE,none,TRUE
RELIABILITY_DESC_RACE_ETHNICITY_NON_HISPANIC_BLACK,RELIABILITY_DESC_RACE_ETHNICITY_NON_HISPANIC_BLACK,none,TRUE
RELIABILITY_DESC_RACE_ETHNICITY_NON_HISPANIC_ASIAN,RELIABILITY_DESC_RACE_ETHNICITY_NON_HISPANIC_ASIAN,none,TRUE
RELIABILITY_DESC_RACE_ETHNICITY_NON_HISPANIC_OTHER_MULTIPLE,RELIABILITY_DESC_RACE_ETHNICITY_NON_HISPANIC_OTHER_MULTIPLE,none,TRUE
RELIABILITY_DESC_REGION_NORTHEAST,RELIABILITY_DESC_REGION_NORTHEAST,none,TRUE
RELIABILITY_DESC_REGION_MIDWEST,RELIABILITY_DESC_REGION_MIDWEST,none,TRUE
RELIABILITY_DESC_REGION_SOUTH,RELIABILITY_DESC_REGION_SOUTH,none,TRUE
RELIABILITY_DESC_REGION_WEST,RELIABILITY_DESC_REGION_WEST,none,TRUE
RELIABILITY_DESC_POVERTY_2_X200_PLUS_FPL,RELIABILITY_DESC_POVERTY_2_X200_PLUS_FPL,none,TRUE
RELIABILITY_DESC_POVERTY_2_BELOW_200_FPL,RELIABILITY_DESC_POVERTY_2_BELOW_200_FPL,none,TRUE
RELIABILITY_DESC_INSURANCE_ANY_PRIVATE,RELIABILITY_DESC_INSURANCE_ANY_PRIVATE,none,TRUE
RELIABILITY_DESC_INSURANCE_PUBLIC_ONLY,RELIABILITY_DESC_INSURANCE_PUBLIC_ONLY,none,TRUE
RELIABILITY_DESC_INSURANCE_UNINSURED,RELIABILITY_DESC_INSURANCE_UNINSURED,none,TRUE
RELIABILITY_DESC_ERTOTY1_MEAN,RELIABILITY_DESC_ERTOTY1_MEAN,none,TRUE
RELIABILITY_DESC_IPDISY1_MEAN,RELIABILITY_DESC_IPDISY1_MEAN,none,TRUE
RELIABILITY_DESC_OPTOTVY1_MEAN,RELIABILITY_DESC_OPTOTVY1_MEAN,none,TRUE
RELIABILITY_DESC_OBTOTVY1_MEAN,RELIABILITY_DESC_OBTOTVY1_MEAN,none,TRUE
RELIABILITY_DESC_PHYSICAL_HEALTH_3_EXCELLENT_VERY_GOOD,RELIABILITY_DESC_PHYSICAL_HEALTH_3_EXCELLENT_VERY_GOOD,none,TRUE
RELIABILITY_DESC_PHYSICAL_HEALTH_3_GOOD,RELIABILITY_DESC_PHYSICAL_HEALTH_3_GOOD,none,TRUE
RELIABILITY_DESC_PHYSICAL_HEALTH_3_FAIR_POOR,RELIABILITY_DESC_PHYSICAL_HEALTH_3_FAIR_POOR,none,TRUE
RELIABILITY_DESC_MENTAL_HEALTH_3_EXCELLENT_VERY_GOOD,RELIABILITY_DESC_MENTAL_HEALTH_3_EXCELLENT_VERY_GOOD,none,TRUE
RELIABILITY_DESC_MENTAL_HEALTH_3_GOOD,RELIABILITY_DESC_MENTAL_HEALTH_3_GOOD,none,TRUE
RELIABILITY_DESC_MENTAL_HEALTH_3_FAIR_POOR,RELIABILITY_DESC_MENTAL_HEALTH_3_FAIR_POOR,none,TRUE
RELIABILITY_DESC_WALK_LIMITATION_NO,RELIABILITY_DESC_WALK_LIMITATION_NO,none,TRUE
RELIABILITY_DESC_WALK_LIMITATION_YES,RELIABILITY_DESC_WALK_LIMITATION_YES,none,TRUE
RELIABILITY_DESC_CANCER_Y1_NO,RELIABILITY_DESC_CANCER_Y1_NO,none,TRUE
RELIABILITY_DESC_CANCER_Y1_YES,RELIABILITY_DESC_CANCER_Y1_YES,none,TRUE
RELIABILITY_DESC_HIGHEST_SURGERY_SETTING_OFFICE_BASED,RELIABILITY_DESC_HIGHEST_SURGERY_SETTING_OFFICE_BASED,none,TRUE
RELIABILITY_DESC_HIGHEST_SURGERY_SETTING_OUTPATIENT,RELIABILITY_DESC_HIGHEST_SURGERY_SETTING_OUTPATIENT,none,TRUE
RELIABILITY_DESC_HIGHEST_SURGERY_SETTING_EMERGENCY_ROOM,RELIABILITY_DESC_HIGHEST_SURGERY_SETTING_EMERGENCY_ROOM,none,TRUE
RELIABILITY_DESC_HIGHEST_SURGERY_SETTING_INPATIENT,RELIABILITY_DESC_HIGHEST_SURGERY_SETTING_INPATIENT,none,TRUE
RELIABILITY_DESC_PANEL_X22,RELIABILITY_DESC_PANEL_X22,none,TRUE
RELIABILITY_DESC_PANEL_X23,RELIABILITY_DESC_PANEL_X23,none,TRUE
RELIABILITY_DESC_PANEL_X25,RELIABILITY_DESC_PANEL_X25,none,TRUE
RELIABILITY_DESC_PANEL_X26,RELIABILITY_DESC_PANEL_X26,none,TRUE
RELIABILITY_DESC_SURGICAL_EVENT_COUNT_MEAN,RELIABILITY_DESC_SURGICAL_EVENT_COUNT_MEAN,none,TRUE
RELIABILITY_OUTCOME_NO_OPIOID_ED_COUNT,RELIABILITY_OUTCOME_NO_OPIOID_ED_COUNT,none,TRUE
RELIABILITY_OUTCOME_NO_OPIOID_ANY_ED,RELIABILITY_OUTCOME_NO_OPIOID_ANY_ED,none,TRUE
RELIABILITY_OUTCOME_ANY_OPIOID_ED_COUNT,RELIABILITY_OUTCOME_ANY_OPIOID_ED_COUNT,none,TRUE
RELIABILITY_OUTCOME_ANY_OPIOID_ANY_ED,RELIABILITY_OUTCOME_ANY_OPIOID_ANY_ED,none,TRUE
RELIABILITY_OUTCOME_200_PLUS_FPL_NO_OPIOID_ED_COUNT,RELIABILITY_OUTCOME_200_PLUS_FPL_NO_OPIOID_ED_COUNT,none,TRUE
RELIABILITY_OUTCOME_200_PLUS_FPL_ANY_OPIOID_ED_COUNT,RELIABILITY_OUTCOME_200_PLUS_FPL_ANY_OPIOID_ED_COUNT,none,TRUE
RELIABILITY_OUTCOME_BELOW_200_FPL_NO_OPIOID_ED_COUNT,RELIABILITY_OUTCOME_BELOW_200_FPL_NO_OPIOID_ED_COUNT,none,TRUE
