key,file,row_number
DESC_AGEY1X_MEAN,descriptive_table.csv,1
DESC_CANCER_Y1_NO,descriptive_table.csv,2
DESC_CANCER_Y1_YES,descriptive_table.csv,3
DESC_ERTOTY1_MEAN,descriptive_table.csv,4
DESC_HIGHEST_SURGERY_SETTING_EMERGENCY_ROOM,descriptive_table.csv,5
DESC_HIGHEST_SURGERY_SETTING_INPATIENT,descriptive_table.csv,6
DESC_HIGHEST_SURGERY_SETTING_OFFICE_BASED,descriptive_table.csv,7
DESC_HIGHEST_SURGERY_SETTING_OUTPATIENT,descriptive_table.csv,8
DESC_INSURANCE_ANY_PRIVATE,descriptive_table.csv,9
DESC_INSURANCE_PUBLIC_ONLY,descriptive_table.csv,10
DESC_INSURANCE_UNINSURED,descriptive_table.csv,11
DESC_IPDISY1_MEAN,descriptive_table.csv,12
DESC_MENTAL_HEALTH_3_EXCELLENT_VERY_GOOD,descriptive_table.csv,13
DESC_MENTAL_HEALTH_3_FAIR_POOR,descriptive_table.csv,14
DESC_MENTAL_HEALTH_3_GOOD,descriptive_table.csv,15
DESC_OBTOTVY1_MEAN,descriptive_table.csv,16
DESC_OPTOTVY1_MEAN,descriptive_table.csv,17
DESC_PANEL_X22,descriptive_table.csv,18
DESC_PANEL_X23,descriptive_table.csv,19
DESC_PANEL_X25,descriptive_table.csv,20
DESC_PANEL_X26,descriptive_table.csv,21
DESC_PHYSICAL_HEALTH_3_EXCELLENT_VERY_GOOD,descriptive_table.csv,22
DESC_PHYSICAL_HEALTH_3_FAIR_POOR,descriptive_table.csv,23
DESC_PHYSICAL_HEALTH_3_GOOD,descriptive_table.csv,24
DESC_POVERTY_2_BELOW_200_FPL,descriptive_table.csv,25
DESC_POVERTY_2_X200_PLUS_FPL,descriptive_table.csv,26
DESC_RACE_ETHNICITY_HISPANIC,descriptive_table.csv,27
DESC_RACE_ETHNICITY_NON_HISPANIC_ASIAN,descriptive_table.csv,28
DESC_RACE_ETHNICITY_NON_HISPANIC_BLACK,descriptive_table.csv,29
DESC_RACE_ETHNICITY_NON_HISPANIC_OTHER_MULTIPLE,descriptive_table.csv,30
DESC_RACE_ETHNICITY_NON_HISPANIC_WHITE,descriptive_table.csv,31
DESC_REGION_MIDWEST,descriptive_table.csv,32
DESC_REGION_NORTHEAST,descriptive_table.csv,33
DESC_REGION_SOUTH,descriptive_table.csv,34
DESC_REGION_WEST,descriptive_table.csv,35
DESC_SEX_FEMALE,descriptive_table.csv,36
DESC_SEX_MALE,descriptive_table.csv,37
DESC_SURGICAL_EVENT_COUNT_MEAN,descriptive_table.csv,38
DESC_WALK_LIMITATION_NO,descriptive_table.csv,39
DESC_WALK_LIMITATION_YES,descriptive_table.csv,40
LEVEL_CANCER_Y1_NO,model_level_counts.csv,41
LEVEL_CANCER_Y1_YES,model_level_counts.csv,42
LEVEL_INSURANCE_MODEL_ANY_PRIVATE,model_level_counts.csv,43
LEVEL_INSURANCE_MODEL_NO_PRIVATE,model_level_counts.csv,44
LEVEL_MENTAL_HEALTH_3_EXCELLENT_VERY_GOOD,model_level_counts.csv,45
LEVEL_MENTAL_HEALTH_3_FAIR_POOR,model_level_counts.csv,46
LEVEL_MENTAL_HEALTH_3_GOOD,model_level_counts.csv,47
LEVEL_OPIOID_BINARY_ANY_OPIOID,model_level_counts.csv,48
LEVEL_OPIOID_BINARY_NO_OPIOID,model_level_counts.csv,49
LEVEL_PANEL_X22,model_level_counts.csv,50
LEVEL_PANEL_X23,model_level_counts.csv,51
LEVEL_PANEL_X25,model_level_counts.csv,52
LEVEL_PANEL_X26,model_level_counts.csv,53
LEVEL_PHYSICAL_HEALTH_3_EXCELLENT_VERY_GOOD,model_level_counts.csv,54
LEVEL_PHYSICAL_HEALTH_3_FAIR_POOR,model_level_counts.csv,55
LEVEL_PHYSICAL_HEALTH_3_GOOD,model_level_counts.csv,56
LEVEL_POVERTY_2_BELOW_200_FPL,model_level_counts.csv,57
LEVEL_POVERTY_2_X200_PLUS_FPL,model_level_counts.csv,58
LEVEL_RACE_MODEL_HISPANIC,model_level_counts.csv,59
LEVEL_RACE_MODEL_NON_HISPANIC_ASIAN_OTHER_MULTIPLE,model_level_counts.csv,60
LEVEL_RACE_MODEL_NON_HISPANIC_BLACK,model_level_counts.csv,61
LEVEL_RACE_MODEL_NON_HISPANIC_WHITE,model_level_counts.csv,62
LEVEL_REGION_MIDWEST,model_level_counts.csv,63
LEVEL_REGION_NORTHEAST,model_level_counts.csv,64
LEVEL_REGION_SOUTH,model_level_counts.csv,65
LEVEL_REGION_WEST,model_level_counts.csv,66
LEVEL_SEX_FEMALE,model_level_counts.csv,67
LEVEL_SEX_MALE,model_level_counts.csv,68
LEVEL_SURGERY_EMERGENCY_ROOM_X0,model_level_counts.csv,69
LEVEL_SURGERY_EMERGENCY_ROOM_X1,model_level_counts.csv,70
LEVEL_SURGERY_INPATIENT_X0,model_level_counts.csv,71
LEVEL_SURGERY_INPATIENT_X1,model_level_counts.csv,72
LEVEL_SURGERY_OFFICE_BASED_X0,model_level_counts.csv,73
LEVEL_SURGERY_OFFICE_BASED_X1,model_level_counts.csv,74
LEVEL_SURGERY_OUTPATIENT_X0,model_level_counts.csv,75
LEVEL_SURGERY_OUTPATIENT_X1,model_level_counts.csv,76
LEVEL_WALK_LIMITATION_NO,model_level_counts.csv,77
LEVEL_WALK_LIMITATION_YES,model_level_counts.csv,78
M1_CAL_ANY_OPIOID,model_calibration.csv,79
M1_CAL_NO_OPIOID,model_calibration.csv,80
M1_CAL_OVERALL,model_calibration.csv,81
M1_CAL_PREDICTION_GROUP_1,model_calibration.csv,82
M1_CAL_PREDICTION_GROUP_10,model_calibration.csv,83
M1_CAL_PREDICTION_GROUP_2,model_calibration.csv,84
M1_CAL_PREDICTION_GROUP_3,model_calibration.csv,85
M1_CAL_PREDICTION_GROUP_4,model_calibration.csv,86
M1_CAL_PREDICTION_GROUP_5,model_calibration.csv,87
M1_CAL_PREDICTION_GROUP_6,model_calibration.csv,88
M1_CAL_PREDICTION_GROUP_7,model_calibration.csv,89
M1_CAL_PREDICTION_GROUP_8,model_calibration.csv,90
M1_CAL_PREDICTION_GROUP_9,model_calibration.csv,91
M1_COEF_PANEL23,model_coefficients.csv,92
M1_COEF_PANEL25,model_coefficients.csv,93
M1_COEF_PANEL26,model_coefficients.csv,94
M1_COEF_X.Intercept.,model_coefficients.csv,95
M1_COEF_cancer_y1yes,model_coefficients.csv,96
M1_COEF_insurance_modelno_private,model_coefficients.csv,97
M1_COEF_log1p.ERTOTY1.,model_coefficients.csv,98
M1_COEF_log1p.IPDISY1.,model_coefficients.csv,99
M1_COEF_log1p.OBTOTVY1.,model_coefficients.csv,100
M1_COEF_log1p.OPTOTVY1.,model_coefficients.csv,101
M1_COEF_log1p.surgical_event_count.,model_coefficients.csv,102
M1_COEF_mental_health_3fair_poor,model_coefficients.csv,103
M1_COEF_mental_health_3good,model_coefficients.csv,104
M1_COEF_ns.AGEY1X..3.1,model_coefficients.csv,105
M1_COEF_ns.AGEY1X..3.2,model_coefficients.csv,106
M1_COEF_ns.AGEY1X..3.3,model_coefficients.csv,107
M1_COEF_opioid_binaryany_opioid,model_coefficients.csv,108
M1_COEF_physical_health_3fair_poor,model_coefficients.csv,109
M1_COEF_physical_health_3good,model_coefficients.csv,110
M1_COEF_poverty_2below_200_fpl,model_coefficients.csv,111
M1_COEF_race_modelhispanic,model_coefficients.csv,112
M1_COEF_race_modelnon_hispanic_asian_other_multiple,model_coefficients.csv,113
M1_COEF_race_modelnon_hispanic_black,model_coefficients.csv,114
M1_COEF_regionmidwest,model_coefficients.csv,115
M1_COEF_regionsouth,model_coefficients.csv,116
M1_COEF_regionwest,model_coefficients.csv,117
M1_COEF_sexfemale,model_coefficients.csv,118
M1_COEF_surgery_emergency_room,model_coefficients.csv,119
M1_COEF_surgery_inpatient,model_coefficients.csv,120
M1_COEF_surgery_office_based,model_coefficients.csv,121
M1_COEF_surgery_outpatient,model_coefficients.csv,122
M1_COEF_walk_limitationyes,model_coefficients.csv,123
M1_DIAG_CALIBRATION_BY_EXPOSURE,model_diagnostics.csv,124
M1_DIAG_CALIBRATION_INTERCEPT,model_diagnostics.csv,125
M1_DIAG_CALIBRATION_OVERALL,model_diagnostics.csv,126
M1_DIAG_CALIBRATION_PREDICTION_GROUPS,model_diagnostics.csv,127
M1_DIAG_CALIBRATION_SLOPE,model_diagnostics.csv,128
M1_DIAG_CONDITION_NUMBER,model_diagnostics.csv,129
M1_DIAG_CONVERGED,model_diagnostics.csv,130
M1_DIAG_DISPERSION,model_diagnostics.csv,131
M1_DIAG_ED_POSITIVE_PER_PARAMETER,model_diagnostics.csv,132
