scope,scheme,category,n,ed_positive,ed_visits,weighted_millions_average_panel
panel_22,narrow,opioid_only,260,58,94,5.810159
panel_22,narrow,nonopioid_only,30,9,16,0.6625
panel_22,narrow,both,47,15,21,1.097083
panel_22,narrow,neither,1170,263,398,27.05494
panel_22,broad,opioid_only,249,54,90,5.629434
panel_22,broad,nonopioid_only,45,14,27,0.971417
panel_22,broad,both,58,19,25,1.277807
panel_22,broad,neither,1155,258,387,26.746023
panel_23,narrow,opioid_only,243,60,114,5.601996
panel_23,narrow,nonopioid_only,36,12,17,0.743714
panel_23,narrow,both,42,11,11,0.972631
panel_23,narrow,neither,1160,276,448,26.454314
panel_23,broad,opioid_only,239,60,114,5.548093
panel_23,broad,nonopioid_only,48,14,20,1.047834
panel_23,broad,both,46,11,11,1.026535
panel_23,broad,neither,1148,274,445,26.150194
panel_25,narrow,opioid_only,81,19,30,3.531972
panel_25,narrow,nonopioid_only,20,3,4,1.045032
panel_25,narrow,both,15,3,4,1.114469
panel_25,narrow,neither,530,120,189,25.667693
panel_25,broad,opioid_only,79,19,30,3.493058
panel_25,broad,nonopioid_only,24,3,4,1.348373
panel_25,broad,both,17,3,4,1.153383
panel_25,broad,neither,526,120,189,25.364352
panel_26,narrow,opioid_only,116,27,41,4.462398
panel_26,narrow,nonopioid_only,14,3,5,0.731925
panel_26,narrow,both,16,2,4,0.602538
panel_26,narrow,neither,688,161,262,28.267263
panel_26,broad,opioid_only,111,26,40,4.249094
panel_26,broad,nonopioid_only,18,3,5,1.004604
panel_26,broad,both,21,3,5,0.815843
panel_26,broad,neither,684,161,262,27.994584
pooled_all_panels,narrow,opioid_only,700,164,279,4.851631
pooled_all_panels,narrow,nonopioid_only,100,27,42,0.795793
pooled_all_panels,narrow,both,120,31,40,0.94668
pooled_all_panels,narrow,neither,3548,820,1297,26.861052
pooled_all_panels,broad,opioid_only,678,159,274,4.72992
pooled_all_panels,broad,nonopioid_only,135,34,56,1.093057
pooled_all_panels,broad,both,142,36,45,1.068392
pooled_all_panels,broad,neither,3513,813,1283,26.563788
pooled_all_panels,binary,any_opioid,820,195,319,5.798312
pooled_all_panels,binary,no_opioid,3648,847,1339,27.656845
exclude_panel_25_2020_exposure,narrow,opioid_only,619,145,249,5.291518
exclude_panel_25_2020_exposure,narrow,nonopioid_only,80,24,38,0.712713
exclude_panel_25_2020_exposure,narrow,both,105,28,36,0.890751
exclude_panel_25_2020_exposure,narrow,neither,3018,700,1108,27.258839
exclude_panel_25_2020_exposure,broad,opioid_only,599,140,244,5.142207
exclude_panel_25_2020_exposure,broad,nonopioid_only,111,31,52,1.007951
exclude_panel_25_2020_exposure,broad,both,125,33,41,1.040061
exclude_panel_25_2020_exposure,broad,neither,2987,693,1094,26.9636
